ds,yhat
2015-01-31,14300.788629859613
2015-02-28,2292.490775423743
2015-03-31,52016.92102475178
2015-04-30,21123.413134397233
2015-05-31,22726.497781273873
2015-06-30,29917.67553577413
2015-07-31,25841.09085465844
2015-08-31,24904.308480494503
2015-09-30,70749.55291156413
2015-10-31,38069.69156692235
2015-11-30,80843.73659127773
2015-12-31,63393.26891176286
2016-01-31,19349.245440137303
2016-02-29,14205.699880648248
2016-03-31,33166.007929802734
2016-04-30,32995.513957704876
2016-05-31,40181.72931047723
2016-06-30,28602.332693515542
2016-07-31,32163.019801772596
2016-08-31,38791.841127710984
2016-09-30,63984.034714133
2016-10-31,46040.106391915004
2016-11-30,78370.90457522146
2016-12-31,81357.47367231123
2017-01-31,26112.348488483203
2017-02-28,18207.642036074227
2017-03-31,47851.8942362036
2017-04-30,37865.748677492986
2017-05-31,43316.6550620599
2017-06-30,38245.53978169807
2017-07-31,39624.27445299092
2017-08-31,43931.24792884316
2017-09-30,76334.69566383772
2017-10-31,53810.17012354815
2017-11-30,89780.86487201274
2017-12-31,86035.93549621337
2018-01-31,34521.341674616095
2018-02-28,24656.67780604866
2018-03-31,64561.312515056576
2018-04-30,44333.47064897402
2018-05-31,47925.11862685175
2018-06-30,49114.91087415674
2018-07-31,47949.460492664446
2018-08-31,49735.772007476524
2018-09-30,89026.81994313211
2018-10-31,61590.523892303645
2018-11-30,101136.33695839858
2018-12-31,90673.80059965007
2019-01-31,42990.53219535749
2019-02-28,31248.159915039356
2019-03-31,81267.00776501522
2019-04-30,50658.42013354306
2019-05-31,52555.92237946078
2019-06-30,60032.02039077183
2019-07-31,56249.85330837666
2019-08-31,55607.48853375757
2019-09-30,101737.65322390571
2019-10-31,69352.20948038326
2019-11-30,112411.17476168483
2019-12-31,95255.12467964647
